Crop,State,Cost of Cultivation (`/Hectare) A2+FL,Cost of Cultivation (`/Hectare) C2,Cost of Production (`/Quintal) C2,Yield (Quintal/ Hectare)
ARHAR,Uttar Pradesh,9794.05,23076.74,1941.55,9.83
ARHAR,Karnataka,10593.15,16528.68,2172.46,7.47
ARHAR,Gujarat,13468.82,19551.9,1898.3,9.59
ARHAR,Maharashtra,17130.55,25270.26,2775.8,8.72
GRAM,Rajasthan,8552.69,12610.85,1691.66,6.83
GRAM,Madhya Pradesh,9803.89,16873.17,1551.94,10.29
GRAM,Uttar Pradesh,12833.04,21618.43,1882.68,10.93
GRAM,Maharashtra,12985.95,18679.33,2277.68,8.05
GRAM,Andhra Pradesh,14421.98,26762.09,1559.04,16.69
MAIZE,Rajasthan,14421.46,19810.29,658.77,23.56
MAIZE,Uttar Pradesh,15635.43,21045.11,1387.36,13.7
MOONG,Orissa,5483.54,8266.98,2614.14,3.01
MOONG,Rajasthan,6204.23,9165.59,2068.67,4.05
MOONG,Andhra Pradesh,6684.18,13209.32,2228.97,5.9
MOONG,Maharashtra,10780.76,15371.45,2261.24,6.7
RAPESEED AND MUSTARD,Madhya Pradesh,8686.43,17705.93,1279.6,12.94
RAPESEED AND MUSTARD,Rajasthan,11385.7,19259.84,1341.29,13.54
RAPESEED AND MUSTARD,Uttar Pradesh,12774.41,22560.3,1595.56,13.57
RAPESEED AND MUSTARD,Gujarat,13740.64,19083.55,1610.4,11.61
RAPESEED AND MUSTARD,Haryana,14715.27,27507.54,1251.12,19.94
WHEAT,Madhya Pradesh,12464.4,22489.75,810.25,23.59
